Dista(Graus)	Long	Lat	Bouguer(mGal)
7.09643343027	-48.2781112309	-15.4461925759	21.5180892944
7.13301298404	-48.2447465383	-15.4611879434	22.8332500458
7.1695925378	-48.2113818458	-15.4761833108	13.9422597885
7.20617209157	-48.1780171532	-15.4911786783	15.0898399353
7.24275164533	-48.1446524607	-15.5061740457	18.5494594574
7.2793311991	-48.1112877681	-15.5211694131	20.504119873
7.31591075286	-48.0779230756	-15.5361647806	24.7270908356
7.35249030662	-48.044558383	-15.551160148	13.9051599503
7.38906986039	-48.0111936905	-15.5661555155	4.21272993088
7.42564941415	-47.9778289979	-15.5811508829	20.8904705048
7.46222896792	-47.9444643054	-15.5961462503	19.7223091125
7.49880852168	-47.9110996128	-15.6111416178	32.3629112244
7.53538807545	-47.8777349203	-15.6261369852	26.5066795349
7.57196762921	-47.8443702277	-15.6411323526	31.6101093292
7.60854718297	-47.8110055352	-15.6561277201	35.0962486267
7.64512673674	-47.7776408426	-15.6711230875	25.8500804901
7.6817062905	-47.7442761501	-15.686118455	22.1881103516
7.71828584427	-47.7109114575	-15.7011138224	28.9764308929
7.75486539803	-47.677546765	-15.7161091898	28.5265407562
7.7914449518	-47.6441820724	-15.7311045573	20.3578605652
7.82802450556	-47.6108173799	-15.7460999247	18.7786808014
7.86460405932	-47.5774526873	-15.7610952922	30.1142196655
7.90118361309	-47.5440879948	-15.7760906596	33.0950012207
7.93776316685	-47.5107233022	-15.791086027	24.3539199829
7.97434272062	-47.4773586097	-15.8060813945	24.8943691254
8.01092227438	-47.4439939171	-15.8210767619	26.9414997101
8.04750182815	-47.4106292246	-15.8360721293	32.4058189392
8.08408138191	-47.377264532	-15.8510674968	32.508518219
8.12066093567	-47.3438998395	-15.8660628642	26.7063293457
8.15724048944	-47.3105351469	-15.8810582317	26.9417304993
8.1938200432	-47.2771704544	-15.8960535991	32.2236785889
8.23039959697	-47.2438057618	-15.9110489665	36.9813194275
8.26697915073	-47.2104410693	-15.926044334	34.1988487244
8.3035587045	-47.1770763767	-15.9410397014	36.2056388855
8.34013825826	-47.1437116842	-15.9560350689	35.6632118225
8.37671781203	-47.1103469916	-15.9710304363	39.4303398132
8.41329736579	-47.0769822991	-15.9860258037	33.1150283813
8.44987691955	-47.0436176065	-16.0010211712	33.6214904785
8.48645647332	-47.010252914	-16.0160165386	35.6356201172
8.52303602708	-46.9768882214	-16.031011906	35.9087104797
8.55961558085	-46.9435235289	-16.0460072735	36.0088005066
8.59619513461	-46.9101588363	-16.0610026409	34.1425094604
8.63277468838	-46.8767941438	-16.0759980084	32.2558898926
8.66935424214	-46.8434294512	-16.0909933758	34.6600608826
8.7059337959	-46.8100647587	-16.1059887432	38.9719581604
8.74251334967	-46.7767000661	-16.1209841107	40.684928894
8.77909290343	-46.7433353736	-16.1359794781	43.3851699829
8.8156724572	-46.709970681	-16.1509748455	47.130859375
8.85225201096	-46.6766059885	-16.165970213	41.76404953
8.88883156473	-46.6432412959	-16.1809655804	33.8267097473
8.92541111849	-46.6098766034	-16.1959609479	41.7991600037
8.96199067225	-46.5765119108	-16.2109563153	46.8569793701
8.99857022602	-46.5431472183	-16.2259516827	42.9702415466
9.03514977978	-46.5097825257	-16.2409470502	41.314491272
9.07172933355	-46.4764178332	-16.2559424176	46.3731803894
9.10830888731	-46.4430531406	-16.2709377851	45.5470504761
9.14488844108	-46.4096884481	-16.2859331525	46.327709198
9.18146799484	-46.3763237555	-16.3009285199	44.3717384338
9.2180475486	-46.342959063	-16.3159238874	44.2418289185
9.25462710237	-46.3095943704	-16.3309192548	45.1683692932
9.29120665613	-46.2762296779	-16.3459146222	42.2433586121
9.3277862099	-46.2428649853	-16.3609099897	42.9922790527
9.36436576366	-46.2095002928	-16.3759053571	43.4251403809
9.40094531743	-46.1761356002	-16.3909007246	44.1351203918
9.43752487119	-46.1427709077	-16.405896092	42.5047187805
9.47410442495	-46.1094062151	-16.4208914594	43.8071289062
9.51068397872	-46.0760415226	-16.4358868269	47.8618812561
9.54726353248	-46.04267683	-16.4508821943	42.3672294617
9.58384308625	-46.0093121375	-16.4658775618	44.3483505249
9.62042264001	-45.9759474449	-16.4808729292	46.71900177
9.65700219378	-45.9425827524	-16.4958682966	44.6453781128
9.69358174754	-45.9092180598	-16.5108636641	38.4234008789
9.7301613013	-45.8758533673	-16.5258590315	41.0458297729
9.76674085507	-45.8424886747	-16.5408543989	42.2163200378
9.80332040883	-45.8091239822	-16.5558497664	39.7288093567
9.8398999626	-45.7757592896	-16.5708451338	41.2839202881
9.87647951636	-45.7423945971	-16.5858405013	43.5500183105
9.91305907013	-45.7090299045	-16.6008358687	43.634929657
9.94963862389	-45.6756652119	-16.6158312361	38.3903999329
9.98621817765	-45.6423005194	-16.6308266036	38.4738311768
10.0227977314	-45.6089358268	-16.645821971	39.4264602661
10.0593772852	-45.5755711343	-16.6608173385	44.7216491699
10.0959568389	-45.5422064417	-16.6758127059	44.479850769
10.1325363927	-45.5088417492	-16.6908080733	39.9524383545
10.1691159465	-45.4754770566	-16.7058034408	43.3759803772
10.2056955002	-45.4421123641	-16.7207988082	42.3338012695
10.242275054	-45.4087476715	-16.7357941756	44.8775901794
10.2788546078	-45.375382979	-16.7507895431	48.2516212463
10.3154341615	-45.3420182864	-16.7657849105	47.5402297974
10.3520137153	-45.3086535939	-16.780780278	50.3479003906
10.3885932691	-45.2752889013	-16.7957756454	50.3518600464
10.4251728228	-45.2419242088	-16.8107710128	51.0634803772
10.4617523766	-45.2085595162	-16.8257663803	52.2403106689
10.4983319304	-45.1751948237	-16.8407617477	54.0034790039
10.5349114841	-45.1418301311	-16.8557571152	50.9838600159
10.5714910379	-45.1084654386	-16.8707524826	49.7872200012
10.6080705916	-45.075100746	-16.88574785	50.4304618835
10.6446501454	-45.0417360535	-16.9007432175	48.021068573
10.6812296992	-45.0083713609	-16.9157385849	48.683921814
10.7178092529	-44.9750066684	-16.9307339523	52.0765419006
10.7543888067	-44.9416419758	-16.9457293198	47.0795593262
10.7909683605	-44.9082772833	-16.9607246872	49.7334403992
10.8275479142	-44.8749125907	-16.9757200547	48.280418396
10.864127468	-44.8415478982	-16.9907154221	45.5340194702
10.9007070218	-44.8081832056	-17.0057107895	40.8206787109
10.9372865755	-44.7748185131	-17.020706157	39.2833213806
10.9738661293	-44.7414538205	-17.0357015244	38.3216705322
11.0104456831	-44.708089128	-17.0506968919	42.175868988
11.0470252368	-44.6747244354	-17.0656922593	36.3997917175
11.0836047906	-44.6413597429	-17.0806876267	37.7986412048
11.1201843443	-44.6079950503	-17.0956829942	45.7347984314
11.1567638981	-44.5746303578	-17.1106783616	36.200920105
11.1933434519	-44.5412656652	-17.125673729	45.4751281738
11.2299230056	-44.5079009727	-17.1406690965	44.5905914307
11.2665025594	-44.4745362801	-17.1556644639	56.0743217468
11.3030821132	-44.4411715876	-17.1706598314	50.1624298096
11.3396616669	-44.407806895	-17.1856551988	48.8018493652
11.3762412207	-44.3744422025	-17.2006505662	32.6314086914
11.4128207745	-44.3410775099	-17.2156459337	45.0203208923
11.4494003282	-44.3077128174	-17.2306413011	37.5974388123
11.485979882	-44.2743481248	-17.2456366686	30.7987709045
11.5225594358	-44.2409834323	-17.260632036	38.3330383301
11.5591389895	-44.2076187397	-17.2756274034	39.6328582764
11.5957185433	-44.1742540472	-17.2906227709	41.1888389587
11.632298097	-44.1408893546	-17.3056181383	38.7233886719
11.6688776508	-44.1075246621	-17.3206135057	37.4416809082
11.7054572046	-44.0741599695	-17.3356088732	41.8443107605
11.7420367583	-44.040795277	-17.3506042406	42.1839904785
11.7786163121	-44.0074305844	-17.3655996081	42.6957588196
11.8151958659	-43.9740658919	-17.3805949755	45.2850914001
11.8517754196	-43.9407011993	-17.3955903429	48.9505805969
11.8883549734	-43.9073365068	-17.4105857104	44.0713996887
11.9249345272	-43.8739718142	-17.4255810778	39.1588783264
11.9615140809	-43.8406071217	-17.4405764453	55.7400283813
11.9980936347	-43.8072424291	-17.4555718127	51.9061012268
12.0346731885	-43.7738777366	-17.4705671801	34.3733100891
12.0712527422	-43.740513044	-17.4855625476	50.3961181641
12.107832296	-43.7071483515	-17.500557915	59.6170501709
12.1444118497	-43.6737836589	-17.5155532824	55.1347618103
12.1809914035	-43.6404189664	-17.5305486499	61.869140625
12.2175709573	-43.6070542738	-17.5455440173	48.6587791443
12.254150511	-43.5736895813	-17.5605393848	56.7330818176
12.2907300648	-43.5403248887	-17.5755347522	49.1328201294
12.3273096186	-43.5069601962	-17.5905301196	48.6143684387
12.3638891723	-43.4735955036	-17.6055254871	49.7447013855
12.4004687261	-43.4402308111	-17.6205208545	45.8397483826
12.4370482799	-43.4068661185	-17.6355162219	55.571849823
12.4736278336	-43.373501426	-17.6505115894	55.0880012512
12.5102073874	-43.3401367334	-17.6655069568	63.6514015198
12.5467869412	-43.3067720409	-17.6805023243	49.4285011292
12.5833664949	-43.2734073483	-17.6954976917	49.0836906433
12.6199460487	-43.2400426558	-17.7104930591	45.5525016785
12.6565256024	-43.2066779632	-17.7254884266	47.2110099792
12.6931051562	-43.1733132707	-17.740483794	44.8836097717
12.72968471	-43.1399485781	-17.7554791615	42.6062583923
12.7662642637	-43.1065838856	-17.7704745289	34.2480010986
12.8028438175	-43.073219193	-17.7854698963	39.0621299744
12.8394233713	-43.0398545005	-17.8004652638	40.6020202637
12.876002925	-43.0064898079	-17.8154606312	37.4295196533
12.9125824788	-42.9731251154	-17.8304559986	41.2365493774
12.9491620326	-42.9397604228	-17.8454513661	42.7553215027
12.9857415863	-42.9063957303	-17.8604467335	38.2109794617
13.0223211401	-42.8730310377	-17.875442101	45.7954292297
13.0589006939	-42.8396663452	-17.8904374684	46.5694198608
13.0954802476	-42.8063016526	-17.9054328358	44.5770111084
13.1320598014	-42.7729369601	-17.9204282033	50.6759300232
13.1686393551	-42.7395722675	-17.9354235707	45.9158782959
13.2052189089	-42.706207575	-17.9504189382	54.1247787476
13.2417984627	-42.6728428824	-17.9654143056	61.8671417236
13.2783780164	-42.6394781899	-17.980409673	61.6572914124
13.3149575702	-42.6061134973	-17.9954050405	56.2388916016
13.351537124	-42.5727488048	-18.0104004079	68.7236785889
13.3881166777	-42.5393841122	-18.0253957753	71.1546783447
13.4246962315	-42.5060194197	-18.0403911428	71.344291687
13.4612757853	-42.4726547271	-18.0553865102	74.9304122925
13.497855339	-42.4392900346	-18.0703818777	73.9490890503
13.5344348928	-42.405925342	-18.0853772451	83.5470199585
13.5710144466	-42.3725606495	-18.1003726125	90.8751525879
13.6075940003	-42.3391959569	-18.11536798	92.2046813965
13.6441735541	-42.3058312644	-18.1303633474	89.2735366821
13.6807531078	-42.2724665718	-18.1453587149	92.9064331055
13.7173326616	-42.2391018793	-18.1603540823	104.431488037
13.7539122154	-42.2057371867	-18.1753494497	105.101158142
13.7904917691	-42.1723724942	-18.1903448172	91.6097564697
13.8270713229	-42.1390078016	-18.2053401846	97.3812637329
13.8636508767	-42.1056431091	-18.220335552	96.83152771
13.9002304304	-42.0722784165	-18.2353309195	89.1357727051
13.9368099842	-42.038913724	-18.2503262869	87.9812011719
13.973389538	-42.0055490314	-18.2653216544	89.0388870239
14.0099690917	-41.9721843389	-18.2803170218	95.5093917847
14.0465486455	-41.9388196463	-18.2953123892	92.4926528931
14.0831281993	-41.9054549538	-18.3103077567	87.3317565918
14.119707753	-41.8720902612	-18.3253031241	95.9769668579
14.1562873068	-41.8387255687	-18.3402984916	91.2524871826
14.1928668605	-41.8053608761	-18.355293859	85.5416717529
14.2294464143	-41.7719961836	-18.3702892264	89.1794204712
14.2660259681	-41.738631491	-18.3852845939	80.0360336304
14.3026055218	-41.7052667985	-18.4002799613	86.5451583862
14.3391850756	-41.6719021059	-18.4152753287	80.2590103149
14.3757646294	-41.6385374134	-18.4302706962	76.8787231445
14.4123441831	-41.6051727208	-18.4452660636	78.0620422363
14.4489237369	-41.5718080282	-18.4602614311	76.9030990601
14.4855032907	-41.5384433357	-18.4752567985	83.5055084229
14.5220828444	-41.5050786431	-18.4902521659	81.267288208
14.5586623982	-41.4717139506	-18.5052475334	71.6027526855
